fragment_ID,species,date,time,site,depth_m,temp_C,collector,old_tag,intake_reflectance?,status,status_date,tank,treatment,sample_time,notes
URB-sid34-052826,ssid,2026-05-28,na,Dodge Island,2.8,29,HML,na,NA,NA,NA,1,+4C,T3,NA
URB-sid17-052826,ssid,2026-05-28,na,Dodge Island,3,29,HML,na,NA,NA,NA,1,+4C,T5,NA
URB-sid16-052826,ssid,2026-05-28,na,Dodge Island,2.4,29,HML,na,NA,NA,NA,1,+4C,T4,NA
URB-sid03-052826,ssid,2026-05-28,na,Dodge Island,2.5,29,HML,na,NA,NA,NA,2,control,T4,NA
URB-sid38-052826,ssid,2026-05-28,na,Dodge Island,3.8,29,HML,na,NA,NA,NA,2,control,T5,NA
URB-sid24-052826,ssid,2026-05-28,na,Dodge Island,2.5,29,VRR,na,NA,NA,NA,2,control,T1,NA
URB-sid27-052826,ssid,2026-05-28,na,Dodge Island,2.2999999999999998,29,VRR,na,NA,NA,NA,3,+2C,T1,NA
URB-sid28-052826,ssid,2026-05-28,na,Dodge Island,2.4,29,VRR,na,NA,NA,NA,3,+2C,T2,NA
URB-sid30-052826,ssid,2026-05-28,na,Dodge Island,2.2999999999999998,29,VRR,na,NA,NA,NA,3,+2C,T4,NA
URB-sid05-052826,ssid,2026-05-28,na,Dodge Island,2.5,29,VRR,na,NA,NA,NA,4,+4C,T1,NA
URB-sid21-052826,ssid,2026-05-28,na,Dodge Island,2.5,29,HML,na,NA,NA,NA,4,+4C,T2,NA
URB-sid40-052826,ssid,2026-05-28,na,Dodge Island,3.3,29,VRR,na,NA,NA,NA,4,+4C,T5,NA
URB-sid33-052826,ssid,2026-05-28,na,Dodge Island,3,29,HML,na,NA,NA,NA,5,control,T4,NA
URB-sid10-052826,ssid,2026-05-28,na,Dodge Island,2.2999999999999998,29,VRR,na,NA,NA,NA,5,control,T1,NA
URB-sid37-052826,ssid,2026-05-28,na,Dodge Island,3,29,HML,na,MISSING,NA,NA,5,control,T2,split in 2
URB-sid08-052826,ssid,2026-05-28,na,Dodge Island,3.8,29,HML,na,NA,NA,NA,6,+2C,T4,NA
URB-sid07-052826,ssid,2026-05-28,na,Dodge Island,3.3,29,HML,na,NA,NA,NA,6,+2C,T5,NA
URB-sid11-052826,ssid,2026-05-28,na,Dodge Island,3.2,29,VRR,na,NA,NA,NA,6,+2C,T1,NA
URB-sid26-052826,ssid,2026-05-28,na,Dodge Island,3,29,HML,na,NA,NA,NA,7,control,T5,NA
URB-sid04-052826,ssid,2026-05-28,na,Dodge Island,na,29,HML,na,NA,NA,NA,7,control,T4,NA
URB-sid36-052826,ssid,2026-05-28,na,Dodge Island,2.9,29,VRR,na,NA,NA,NA,7,control,T2,NA
URB-sid01-052826,ssid,2026-05-28,na,Dodge Island,2.2999999999999998,29,HML,na,NA,NA,NA,8,+4C,T4,NA
URB-sid13-052826,ssid,2026-05-28,na,Dodge Island,2.9,29,VRR,na,NA,NA,NA,8,+4C,T2,NA
URB-sid23-052826,ssid,2026-05-28,na,Dodge Island,2.6,29,HML,na,NA,NA,NA,8,+4C,T1,NA
URB-sid31-052826,ssid,2026-05-28,na,Dodge Island,2.8,29,HML,na,NA,NA,NA,9,+2C,T2,NA
URB-sid14-052826,ssid,2026-05-28,na,Dodge Island,2.6,29,VRR,na,NA,NA,NA,9,+2C,T3,NA
URB-sid22-052826,ssid,2026-05-28,na,Dodge Island,na,29,HML,na,NA,NA,NA,9,+2C,T1,NA
URB-sid19-052826,ssid,2026-05-28,na,Dodge Island,3.3,29,HML,na,NA,NA,NA,10,control,T3,NA
URB-sid32-052826,ssid,2026-05-28,na,Dodge Island,1.9,29,HML,na,NA,NA,NA,10,control,T2,NA
URB-sid18-052826,ssid,2026-05-28,na,Dodge Island,1.6,29,HML,na,NA,NA,NA,10,control,T3,NA
URB-sid02-052826,ssid,2026-05-28,na,Dodge Island,na,29,HML,na,NA,NA,NA,11,+4C,T3,NA
URB-sid25-052826,ssid,2026-05-28,na,Dodge Island,2.2000000000000002,29,VRR,na,NA,NA,NA,11,+4C,T1,NA
URB-sid20-052826,ssid,2026-05-28,na,Dodge Island,2.9,29,VRR,na,NA,NA,NA,11,+4C,T2,NA
URB-sid35-052826,ssid,2026-05-28,na,Dodge Island,3.2,29,VRR,na,NA,NA,NA,12,+2C,T3,NA
URB-sid06-052826,ssid,2026-05-28,na,Dodge Island,3,29,VRR,na,NA,NA,NA,12,+2C,T5,NA
URB-sid15-052826,ssid,2026-05-28,na,Dodge Island,2.9,29,VRR,na,NA,NA,NA,12,+2C,T2,NA
ftlb1-ssid09-03232026,ssid,2026-03-23,0.6166666666666667,BAR,9.8000000000000007,25,HML,FTLB1-8,NA,H,2026-05-26T00:00:00Z,1,+4C,T2,NA
ftlb1-ssid14-03232026,ssid,2026-03-23,0.61111111111111116,BAR,9.8000000000000007,25,HML,FTLB1-13,NA,H,2026-05-26T00:00:00Z,11,+4C,T1,NA
ftlb2-ssid06-03222026,ssid,2026-03-22,na,BAR,8,24,NIR,FTLB2-6,NA,H,2026-05-26T00:00:00Z,6,+2C,T2,NA
