"fragment_ID","species","date","time","site","depth_m","temp_C","collector","old_tag","intake_reflectance?","status","status_date","tank","treatment","sample timepoint","notes"
"URB-sid02-052826","ssid",2026-05-28,"na","Dodge Island","na","29","HML","na",NA,NA,NA,1,"+4C","TP2",NA
"URB-sid28-052826","ssid",2026-05-28,"na","Dodge Island","2.4","29","VRR","na",NA,NA,NA,1,"+4C","TP1",NA
"URB-sid18-052826","ssid",2026-05-28,"na","Dodge Island","1.6","29","HML","na",NA,NA,NA,1,"+4C","TP3",NA
"URB-sid30-052826","ssid",2026-05-28,"na","Dodge Island","2.2999999999999998","29","VRR","na",NA,NA,NA,2,"control","TP1",NA
"URB-sid05-052826","ssid",2026-05-28,"na","Dodge Island","2.5","29","VRR","na",NA,NA,NA,2,"control","TP1",NA
"URB-sid36-052826","ssid",2026-05-28,"na","Dodge Island","2.9","29","VRR","na",NA,NA,NA,2,"control","TP3",NA
"URB-sid31-052826","ssid",2026-05-28,"na","Dodge Island","2.8","29","HML","na",NA,NA,NA,3,"+2C","TP5",NA
"URB-sid40-052826","ssid",2026-05-28,"na","Dodge Island","3.3","29","VRR","na",NA,NA,NA,3,"+2C","TP4",NA
"URB-sid08-052826","ssid",2026-05-28,"na","Dodge Island","3.8","29","HML","na",NA,NA,NA,3,"+2C","TP2",NA
"URB-sid37-052826","ssid",2026-05-28,"na","Dodge Island","3","29","HML","na","MISSING",NA,NA,4,"+4C","TP4","split in 2"
"URB-sid20-052826","ssid",2026-05-28,"na","Dodge Island","2.9","29","VRR","na",NA,NA,NA,4,"+4C","TP5",NA
"URB-sid34-052826","ssid",2026-05-28,"na","Dodge Island","2.8","29","HML","na",NA,NA,NA,4,"+4C","TP5",NA
"URB-sid27-052826","ssid",2026-05-28,"na","Dodge Island","2.2999999999999998","29","VRR","na",NA,NA,NA,5,"control","TP4",NA
"URB-sid06-052826","ssid",2026-05-28,"na","Dodge Island","3","29","VRR","na",NA,NA,NA,5,"control","TP2",NA
"URB-sid14-052826","ssid",2026-05-28,"na","Dodge Island","2.6","29","VRR","na",NA,NA,NA,5,"control","TP1",NA
"URB-sid11-052826","ssid",2026-05-28,"na","Dodge Island","3.2","29","VRR","na",NA,NA,NA,6,"+2C","TP4",NA
"URB-sid07-052826","ssid",2026-05-28,"na","Dodge Island","3.3","29","HML","na",NA,NA,NA,6,"+2C","TP3",NA
"URB-sid38-052826","ssid",2026-05-28,"na","Dodge Island","3.8","29","HML","na",NA,NA,NA,6,"+2C","TP5",NA
"URB-sid15-052826","ssid",2026-05-28,"na","Dodge Island","2.9","29","VRR","na",NA,NA,NA,7,"control","TP5",NA
"URB-sid04-052826","ssid",2026-05-28,"na","Dodge Island","na","29","HML","na",NA,NA,NA,7,"control","TP2",NA
"URB-sid32-052826","ssid",2026-05-28,"na","Dodge Island","1.9","29","HML","na",NA,NA,NA,7,"control","TP2",NA
"URB-sid17-052826","ssid",2026-05-28,"na","Dodge Island","3","29","HML","na",NA,NA,NA,8,"+4C","TP1",NA
"URB-sid24-052826","ssid",2026-05-28,"na","Dodge Island","2.5","29","VRR","na",NA,NA,NA,8,"+4C","TP4",NA
"URB-sid13-052826","ssid",2026-05-28,"na","Dodge Island","2.9","29","VRR","na",NA,NA,NA,8,"+4C","TP3",NA
"URB-sid21-052826","ssid",2026-05-28,"na","Dodge Island","2.5","29","HML","na",NA,NA,NA,9,"+2C","TP3",NA
"URB-sid23-052826","ssid",2026-05-28,"na","Dodge Island","2.6","29","HML","na",NA,NA,NA,9,"+2C","TP3",NA
"URB-sid35-052826","ssid",2026-05-28,"na","Dodge Island","3.2","29","VRR","na",NA,NA,NA,9,"+2C","TP1",NA
"URB-sid10-052826","ssid",2026-05-28,"na","Dodge Island","2.2999999999999998","29","VRR","na",NA,NA,NA,10,"control","TP4",NA
"URB-sid33-052826","ssid",2026-05-28,"na","Dodge Island","3","29","HML","na",NA,NA,NA,10,"control","TP1",NA
"URB-sid25-052826","ssid",2026-05-28,"na","Dodge Island","2.2000000000000002","29","VRR","na",NA,NA,NA,10,"control","TP2",NA
"URB-sid26-052826","ssid",2026-05-28,"na","Dodge Island","3","29","HML","na",NA,NA,NA,11,"+4C","TP1",NA
"URB-sid22-052826","ssid",2026-05-28,"na","Dodge Island","na","29","HML","na",NA,NA,NA,11,"+4C","TP5",NA
"URB-sid39-052826","ssid",2026-05-28,"na","Dodge Island","2.2999999999999998","29","VRR","na",NA,NA,NA,11,"+4C","TP5",NA
"URB-sid16-052826","ssid",2026-05-28,"na","Dodge Island","2.4","29","HML","na",NA,NA,NA,12,"+2C","TP2",NA
"URB-sid03-052826","ssid",2026-05-28,"na","Dodge Island","2.5","29","HML","na",NA,NA,NA,12,"+2C","TP4",NA
"URB-sid19-052826","ssid",2026-05-28,"na","Dodge Island","3.3","29","HML","na",NA,NA,NA,12,"+2C","TP3",NA
"cave-ssid20-04162026","ssid",2026-04-16,"0.59097222222222223","Caves","7.8","26","NIR","na",NA,"H",2026-05-26,4,"+4C","TP4",NA
"cave-ssid04-04162026","ssid",2026-04-16,"0.59097222222222223","Caves","7.7","26","NIR","na",NA,"H",2026-05-26,12,"+2C","TP3",NA
"cave-ssid16-04162026","ssid",2026-04-16,"0.59097222222222223","Caves","7.4","25","HML","na",NA,"H",2026-05-26,7,"control","TP5",NA
"cave-ssid19-04162026","ssid",2026-04-16,"0.59097222222222223","Caves","7.9","26","NIR","na",NA,"H",2026-05-26,11,"+4C","TP1",NA
"cave-ssid03-04162026","ssid",2026-04-16,"0.59097222222222223","Caves","8.1","26","NIR","na",NA,"P",2026-05-26,5,"control","TP3",NA
"cave-ssid28-04162026","ssid",2026-04-16,"0.59097222222222223","Caves","7.7","25","HML","na",NA,"H",2026-05-26,6,"+2C","TP5",NA
"cave-ssid21-04162026","ssid",2026-04-16,"0.59097222222222223","Caves","7.7","26","NIR","na",NA,"H",2026-05-26,9,"+2C","TP3",NA
"cave-ssid07-04162026","ssid",2026-04-16,"0.59097222222222223","Caves","8.1999999999999993","25","HML","na",NA,"H",2026-05-26,8,"+4C","TP2",NA
"cave-ssid12-04162026","ssid",2026-04-16,"0.59097222222222223","Caves","7.8","26","NIR","na",NA,"H",2026-05-26,2,"control","TP4",NA
"cave-ssid09-04162026","ssid",2026-04-16,"0.59097222222222223","Caves","7.5","25","HML","na",NA,"PB",2026-05-26,1,"+4C","TP3",NA
"cave-ssid22-04162026","ssid",2026-04-16,"0.59097222222222223","Caves","7.6","25","HML","na",NA,"H",2026-05-26,3,"+2C","TP1",NA
"cave-ssid17-04162026","ssid",2026-04-16,"0.59097222222222223","Caves","7.9","26","NIR","na",NA,"H",2026-05-26,10,"control","TP4",NA
"cave-ssid13-04162026","ssid",2026-04-16,"0.59097222222222223","Caves","7.8","25","HML","na",NA,"H",2026-05-26,4,"+4C","TP2",NA
"cave-ssid14-04162026","ssid",2026-04-16,"0.59097222222222223","Caves","8.1","25","HML","na",NA,"H",2026-05-26,12,"+2C","TP2","partially bleached, under ledge when collected"
"cave-ssid10-04162026","ssid",2026-04-16,"0.59097222222222223","Caves","7.6","25","HML","na",NA,"H",2026-05-26,7,"control","TP5",NA
"cave-ssid30-04162026","ssid",2026-04-16,"0.59097222222222223","Caves","7.9","25","HML","na",NA,"H",2026-05-26,11,"+4C","TP2",NA
